timestamp,user_id,role,crypto_mode,vendor_reputation,geo_location,device_trust_level,resource_type,sensitivity_level,action,transaction_amount,frequency,payload_size,failed_login_attempts,geo_location_change,label
2025-09-23 09:03:35,user_43,admin,pqc,,India,medium,logs,low,read,0,28,7.05,0,1,0
2025-09-23 09:03:40,user_44,third_party,classical,92.0,USA,high,transaction,low,read,106675,20,5.52,1,0,1
2025-09-23 09:03:45,user_45,auditor,pqc,,Unknown,low,payroll,medium,read,0,22,19.05,2,1,0
2025-09-23 09:03:50,user_46,guest,classical,,India,low,catalog,low,delete,0,16,11.72,1,1,0
2025-09-23 09:03:55,user_47,third_party,classical,65.0,EU,medium,logs,medium,delete,0,12,12.74,0,0,0
2025-09-23 09:04:00,user_48,service,pqc,,EU,low,payroll,low,delete,0,19,8.95,0,1,0
2025-09-23 09:04:05,user_49,auditor,classical,,India,medium,logs,medium,write,0,23,11.61,1,0,0
2025-09-23 09:04:10,user_50,admin,pqc,,India,medium,logs,high,write,0,24,2.61,0,0,0
2025-09-23 09:04:15,user_51,admin,pqc,,Unknown,high,payroll,low,delete,0,22,18.25,0,0,0
2025-09-23 09:04:20,user_52,third_party,pqc,40.0,Unknown,low,payroll,low,write,0,22,17.48,0,0,1
2025-09-23 09:04:25,user_53,auditor,pqc,,EU,medium,transaction,medium,read,0,19,11.83,0,1,0
2025-09-23 09:04:30,user_54,admin,classical,,EU,medium,transaction,high,write,0,10,9.22,2,0,0
2025-09-23 09:04:35,user_55,auditor,classical,,USA,high,transaction,high,update,0,25,17.28,1,1,0
2025-09-23 09:04:40,user_56,third_party,classical,65.0,EU,high,backend_sync,low,delete,0,18,6.6,1,0,0
2025-09-23 09:04:45,user_57,guest,pqc,,India,medium,customer_kyc,high,read,0,21,9.87,2,1,1
2025-09-23 09:04:50,user_58,admin,pqc,,Unknown,high,transaction,medium,delete,0,22,10.47,0,0,0
2025-09-23 09:04:55,user_59,third_party,pqc,65.0,USA,low,logs,low,update,0,20,10.02,0,0,0
2025-09-23 09:05:00,user_60,admin,pqc,,India,medium,transaction,medium,delete,85929,24,3.18,1,0,0
2025-09-23 09:05:05,user_61,service,classical,,EU,high,catalog,low,write,0,17,1.24,1,1,0
2025-09-23 09:05:10,user_62,employee,pqc,,Unknown,low,backend_sync,high,update,0,13,9.69,2,1,1
2025-09-23 09:05:15,user_63,guest,pqc,,EU,low,backend_sync,medium,update,0,19,10.29,1,0,0
2025-09-23 09:05:20,user_64,guest,pqc,,EU,high,backend_sync,high,update,0,22,9.62,3,0,0
2025-09-23 09:05:25,user_65,auditor,classical,,Unknown,high,transaction,medium,delete,59493,12,13.46,1,0,0
2025-09-23 09:05:30,user_66,employee,pqc,,EU,high,payroll,high,update,0,26,4.19,2,1,0
2025-09-23 09:05:35,user_67,auditor,pqc,,EU,high,transaction,low,delete,51181,15,9.75,1,1,0
2025-09-23 09:05:40,user_68,third_party,classical,65.0,USA,low,logs,high,read,0,20,1.85,0,1,1
2025-09-23 09:05:45,user_69,service,classical,,India,high,customer_kyc,medium,read,0,20,20.57,0,0,0
2025-09-23 09:05:50,user_70,third_party,classical,92.0,India,low,backend_sync,low,read,0,16,16.66,1,1,0
2025-09-23 09:05:55,user_71,guest,classical,,India,medium,backend_sync,high,update,0,24,28.45,1,1,0
2025-09-23 09:06:00,user_72,guest,classical,,India,low,logs,high,write,0,12,6.37,0,0,1
2025-09-23 09:06:05,user_73,employee,pqc,,EU,high,backend_sync,low,update,0,18,11.52,2,0,0
2025-09-23 09:06:10,user_74,third_party,classical,92.0,India,low,logs,low,read,0,15,15.44,1,0,0
2025-09-23 09:06:15,user_75,employee,classical,,EU,high,payroll,low,write,0,17,4.93,1,0,0
2025-09-23 09:06:20,user_76,third_party,classical,40.0,Unknown,medium,customer_kyc,low,delete,0,16,6.43,2,1,1
2025-09-23 09:06:25,user_77,third_party,classical,92.0,India,low,catalog,low,update,0,6,10.27,1,0,0
2025-09-23 09:06:30,user_78,auditor,pqc,,Unknown,low,payroll,high,update,0,15,12.93,1,1,1
2025-09-23 09:06:35,user_79,third_party,classical,40.0,EU,low,payroll,medium,delete,0,22,15.62,0,1,1
2025-09-23 09:06:40,user_80,auditor,classical,,EU,medium,customer_kyc,low,write,0,19,18.73,2,1,0
2025-09-23 09:06:45,user_81,third_party,pqc,92.0,EU,low,logs,low,read,0,20,11.15,3,0,0
2025-09-23 09:06:50,user_82,auditor,classical,,EU,medium,backend_sync,low,read,0,15,22.12,1,0,0
2025-09-23 09:06:55,user_83,auditor,classical,,Unknown,low,customer_kyc,medium,write,0,21,6.83,0,1,0
2025-09-23 09:07:00,user_84,admin,pqc,,Unknown,medium,catalog,high,delete,0,15,20.08,0,0,0
2025-09-23 09:07:05,user_85,admin,classical,,EU,low,payroll,medium,update,0,22,10.95,0,1,0
2025-09-23 09:07:10,user_86,service,pqc,,USA,medium,catalog,medium,delete,0,34,5.6,2,0,0
2025-09-23 09:07:15,user_87,employee,classical,,Unknown,low,customer_kyc,high,write,0,17,3.05,1,1,1
2025-09-23 09:07:20,user_88,employee,pqc,,EU,medium,catalog,medium,update,0,16,8.96,0,1,0
2025-09-23 09:07:25,user_89,guest,classical,,Unknown,low,backend_sync,medium,delete,0,25,11.26,1,1,0
2025-09-23 09:07:30,user_90,employee,pqc,,Unknown,low,logs,medium,read,0,22,4.5,2,1,0
2025-09-23 09:07:35,user_91,employee,classical,,Unknown,high,transaction,low,update,173494,15,11.2,0,1,1
2025-09-23 09:07:40,user_92,service,pqc,,India,medium,logs,medium,delete,0,24,7.56,2,1,0
2025-09-23 09:07:45,user_93,admin,pqc,,USA,medium,customer_kyc,medium,write,0,21,3.95,1,0,0
2025-09-23 09:07:50,user_94,guest,pqc,,Unknown,medium,customer_kyc,high,read,0,17,3.3,3,0,1
2025-09-23 09:07:55,user_95,admin,pqc,,India,medium,customer_kyc,medium,read,0,17,16.23,2,1,0
2025-09-23 09:08:00,user_96,employee,classical,,India,high,logs,low,write,0,13,11.34,1,0,0
2025-09-23 09:08:05,user_97,guest,pqc,,India,high,logs,high,delete,0,24,16.9,1,0,0
2025-09-23 09:08:10,user_98,employee,pqc,,EU,medium,transaction,medium,read,48150,15,13.75,3,0,0
2025-09-23 09:08:15,user_99,admin,pqc,,Unknown,medium,catalog,medium,delete,0,18,19.1,0,1,0
