endpoint,version,action,vendor_id,known_in_registry,is_deprecated,extra_fields,internal_pattern,shadow_label
/deprecated/v1/legacy,v1,read,third_party_A,0,1,1,0,1
/transaction/v1/write,v1,read,third_party_A,1,0,0,0,0
/catalog/v2/list,v3,update,third_party_C,1,0,1,0,1
/logs/v1/export,v2,update,internal,1,0,1,0,1
/transaction/v1/read,v1,write,third_party_A,1,0,1,0,1
/logs/v1/export,v2,update,third_party_B,1,0,0,0,0
/catalog/v2/list,v1,delete,third_party_A,1,0,1,0,1
/deprecated/v1/legacy,v1,read,third_party_A,0,1,0,0,1
/payroll/v2/update,v1,write,guest_vendor,1,0,1,0,1
/logs/v1/export,v3,update,internal,1,0,1,0,1
/sandbox/api,v2,read,internal,0,0,1,1,1
/catalog/v2/list,v1,delete,internal,1,0,0,0,0
/logs/v1/export,v2,read,third_party_C,1,0,1,0,1
/payroll/v2/update,v2,read,third_party_C,1,0,1,0,1
/internal/debug,v2,delete,third_party_B,0,0,1,1,1
/transaction/v1/write,v3,read,internal,1,0,1,0,1
/internal/debug,v1,read,internal,0,0,0,1,1
/internal/debug,v1,update,third_party_B,0,0,0,1,1
/deprecated/v1/legacy,v1,delete,third_party_A,0,1,0,0,1
/logs/v1/export,v2,update,third_party_A,1,0,1,0,1
/sandbox/api,v2,delete,guest_vendor,0,0,1,1,1
/deprecated/v1/legacy,v2,update,guest_vendor,0,1,0,0,1
/internal/debug,v3,delete,third_party_C,0,0,0,1,1
/logs/v1/export,v2,write,third_party_A,1,0,0,0,0
/catalog/v2/list,v1,update,guest_vendor,1,0,0,0,0
/transaction/v1/read,v1,read,internal,1,0,1,0,1
/transaction/v1/read,v1,write,third_party_A,1,0,1,0,1
/customer/v1/read,v3,update,third_party_B,1,0,1,0,1
/sandbox/api,v2,update,guest_vendor,0,0,1,1,1
